10,494
20,493
30,478
40,475
50,471
60,461
70,467
80,456
90,461
100,462
110,459
120,472
130,468
140,478
150,479
160,478
171,485
181,474
191,471
201,467
211,453
221,456
231,442
241,440
251,438
261,428
271,436
281,429
291,432
301,434
311,432
321,442
331,438
342,441
352,449
362,442
372,453
382,449
392,451
402,458
412,451
422,459
432,454
442,456
452,461
462,453
472,462
482,456
492,457
502,462
512,454
522,462
532,455
542,454
552,459
562,447
572,451
582,436
592,427
602,418
612,394
622,381
632,357
642,343
652,336
662,327
672,338
683,331
693,328
703,334
713,328
723,337
733,337
743,338
753,347
763,340
773,348
783,344
793,345
803,353
813,344
823,348
833,344
843,339
854,346
864,336
874,342
884,341
894,338
904,348
914,342
924,350
934,355
944,353
954,366
964,363
974,370
984,374
994,373
1004,386
1014,381
1024,389
1034,391
1044,389
1054,398
1064,392
1074,397
1084,396
1094,394
1104,403
1114,397
1124,402
1134,404
1144,400
1154,409
1164,401
1174,405
1184,405
1195,399
1205,407
1215,400
1225,401
1235,403
1245,394
1255,401
1265,392
1275,390
1285,392
1295,383
1305,390
1315,380
1325,380
1335,379
1345,369
1355,375
1366,365
1376,363
1386,364
1396,353
1406,356
1416,349
1426,344
1436,346
1446,334
1456,340
1466,330
1476,325
1486,327
1496,315
1506,318
1516,304
1526,292
1536,285
1546,265
1556,260
1566,245
1576,236
1586,240
1596,236
1606,249
1616,249
1626,251
1636,259
1646,254
1656,264
1666,259
1676,260
1686,264
1696,254
1707,261
1717,256
1727,251
1737,258
1747,249
1757,257
1767,255
1777,253
1787,263
1797,256
1807,264
1817,261
1827,258
1837,266
1847,258
1857,264
1867,261
1878,257
1888,265
1898,256
1908,259
1918,260
1928,254
1938,262
1948,254
1958,258
1968,259
1978,253
1988,261
1998,252
2008,257
2018,256
2028,249
2038,258
2048,248
2058,251
2068,248
2078,238
2088,237
2098,214
2108,204
2118,187
2128,162
2138,154
2148,129
2158,124
2168,121
2178,119
2188,133
2198,129
2208,136
2219,136
2229,126
2239,130
2249,116
2259,112
2269,109
2279,98
2289,102
2299,92
2309,94
2319,98
2329,94
2339,109
2349,107
2359,117
2369,128
2379,128
2390,145
2400,148
2410,154
2420,165
2430,161
2440,172
2450,169
2460,171
2470,179
2480,171
2490,182
2500,177
2510,179
2520,189
2530,186
2540,201
2550,203
2560,213
2570,221
2580,215
2590,223
2600,218
2610,219
2620,224
2630,217
2640,225
2650,220
2660,220
2670,224
2680,215
2690,224
2700,214
2710,213
2720,217
2731,207
2741,214
2751,209
2761,205
2771,213
2781,202
2791,210
2801,205
2811,200
2821,207
2831,197
2841,203
2851,199
2861,196
2871,203
2881,194
2891,201
2902,198
2912,193
2922,203
2932,194
2942,197
2952,196
2962,192
2972,203
2982,194
2992,200
3002,201
