Time_s,Input_Voltage_V,Output_Voltage_V
0,1,0.003426580515942
1e-05,1,0.00013933593134402
2e-05,1,-0.00446280650227616
3e-05,1,-0.00840750003094846
4e-05,1,-0.012680918035121
5e-05,1,-0.0169543360547103
6e-05,1,-0.0212277540897661
7e-05,1,-0.0251724476743572
8e-05,1,-0.0294458657392952
9e-05,1,-0.034048008288227
0.0001,1,-0.0383214263856436
0.00011,1,-0.0416086710866544
0.00012,1,-0.0462108136837335
0.00013,1,-0.0501555073529599
0.00014,1,-0.0541002010356928
0.00015,1,-0.0587023436826701
0.00016,1,-0.0626470373948002
0.00017,1,-0.066920455598323
0.00018,1,-0.0705364248599882
0.00019,1,-0.0744811186131241
0.0002,1,-0.0787545368612017
0.00021,1,-0.0826992306430201
0.00022,1,-0.0866439244386661
0.00023,1,-0.0909173427329318
0.00024,1,-0.0948620365575105
0.00025,1,-0.0988067303960369
0.00026,1,-0.10275142424855
0.00027,1,-0.106367393625674
0.00028,1,-0.110640811995692
0.00029,1,-0.114585505890399
0.0003,1,-0.118201475306303
0.00031,1,-0.122146169228151
0.00032,1,-0.126419587659531
0.00033,1,-0.130035557114536
0.00034,1,-0.133651526581554
0.00035,1,-0.137596220559308
0.00036,1,-0.141540914551432
0.00037,1,-0.145156884056868
0.00038,1,-0.149101578076643
0.00039,1,-0.1530462721109
0.0004,1,-0.157319690664402
0.00041,1,-0.160935660223021
0.00042,1,-0.164551629793909
0.00043,1,-0.168167599377095
0.00044,1,-0.172441017991302
0.00045,1,-0.176056987601424
0.00046,1,-0.17967295722394
0.00047,1,-0.18328892685888
0.00048,1,-0.187233621020292
0.00049,1,-0.191178315196563
0.0005,1,-0.194465560354835
0.00051,1,-0.19841025455845
0.00052,1,-0.202026224258248
0.00053,1,-0.20629964301063
0.00054,1,-0.209586888216786
0.00055,1,-0.213202857955654
0.00056,1,-0.216818827707224
0.00057,1,-0.220763521996186
0.00058,1,-0.224050767248589
0.00059,1,-0.228324186092522
0.0006,1,-0.231611431369275
0.00061,1,-0.235227401185974
0.00062,1,-0.23917209554616
0.00063,1,-0.242459340858056
0.00064,1,-0.24574658618065
0.00065,1,-0.250020005116053
0.00066,1,-0.253307250463338
0.00067,1,-0.256594495821396
0.00068,1,-0.260539190265316
0.00069,1,-0.264155160185932
0.0007,1,-0.267771130119672
0.00071,1,-0.271715824607847
0.00072,1,-0.275331794569127
0.00073,1,-0.278290315456368
0.00074,1,-0.28223500998648
0.00075,1,-0.285522255440307
0.00076,1,-0.288809500905127
0.00077,1,-0.292425470929153
0.00078,1,-0.296041440966538
0.00079,1,-0.299657411017312
0.0008,1,-0.303273381081506
0.00081,1,-0.306889351159149
0.00082,1,-0.310176596695975
0.00083,1,-0.313463842243963
0.00084,1,-0.317079812359669
0.00085,1,-0.320367057931172
0.00086,1,-0.323325578955127
0.00087,1,-0.327270273667915
0.00088,1,-0.33055751927431
0.00089,1,-0.334502214016906
0.0009,1,-0.338118184211949
0.00091,1,-0.341076705290838
0.00092,1,-0.344692675510882
0.00093,1,-0.347979921177436
0.00094,1,-0.351267166855412
0.00095,1,-0.354883137114403
0.00096,1,-0.358170382816437
0.00097,1,-0.361786353101948
0.00098,1,-0.364744874255003
0.00099,1,-0.368032119991579
0.001,1,-0.371648090315164
0.00101,1,-0.37493533607604
0.00102,1,-0.37855130642641
0.00103,1,-0.381838552211686
0.00104,1,-0.384797073428397
0.00105,1,-0.388084319235834
0.00106,1,-0.391042840472528
0.00107,1,-0.394987535469552
0.00108,1,-0.397946056728415
0.00109,1,-0.401890751755059
0.0011,1,-0.404520548448919
0.00111,1,-0.407807794326874
0.00112,1,-0.411423764806291
0.00113,1,-0.414382286118301
0.00114,1,-0.417340807439932
0.00115,1,-0.4202993287712
0.00116,1,-0.423915299300304
0.00117,1,-0.427202545248392
0.00118,1,-0.430489791208445
0.00119,1,-0.433777037180486
0.0012,1,-0.437064283164536
0.00121,1,-0.439694079960439
0.00122,1,-0.443638775168757
0.00123,1,-0.446268571983961
0.00124,1,-0.449555818013855
0.00125,1,-0.452843064055866
0.00126,1,-0.455801585504057
0.00127,1,-0.459088831569154
0.00128,1,-0.462047353038159
0.00129,1,-0.465334599126425
0.0013,1,-0.467964396005839
0.00131,1,-0.471251642116129
0.00132,1,-0.474538888238685
0.00133,1,-0.477826134373531
0.00134,1,-0.480455931290271
0.00135,1,-0.483743177447294
0.00136,1,-0.486701698999176
0.00137,1,-0.489988945179688
0.00138,1,-0.492618742133022
0.00139,1,-0.495905988335862
0.0014,1,-0.498864509929051
0.00141,1,-0.501823031532328
0.00142,1,-0.505110277770046
0.00143,1,-0.508068799394678
0.00144,1,-0.511027321029451
0.00145,1,-0.51398584267438
0.00146,1,-0.516944364329484
0.00147,1,-0.520231610624883
0.00148,1,-0.522861407670276
0.00149,1,-0.526148653988377
0.0015,1,-0.52877845105196
0.00151,1,-0.531736972758177
0.00152,1,-0.534695494474666
0.00153,1,-0.537654016201444
0.00154,1,-0.540612537938527
0.00155,1,-0.543571059685931
0.00156,1,-0.546529581443673
0.00157,1,-0.54948810321177
0.00158,1,-0.552446624990237
0.00159,1,-0.555405146779091
0.0016,1,-0.558363668578349
0.00161,1,-0.560993465741992
0.00162,1,-0.563951987560945
0.00163,1,-0.567239234038708
0.00164,1,-0.569869031230222
0.00165,1,-0.572498828430021
0.00166,1,-0.575786074941435
0.00167,1,-0.578415872159914
0.00168,1,-0.581045669386713
0.00169,1,-0.584004191276824
0.0017,1,-0.586962713177496
0.00171,1,-0.589592510431419
0.00172,1,-0.592551032352088
0.00173,1,-0.595180829623811
0.00174,1,-0.598139351564535
0.00175,1,-0.601097873515899
0.00176,1,-0.604056395477921
0.00177,1,-0.606686192786456
0.00178,1,-0.609315990103436
0.00179,1,-0.611945787428873
0.0018,1,-0.615233034097579
0.00181,1,-0.617862831442085
0.00182,1,-0.620492628795086
0.00183,1,-0.623122426156593
0.00184,1,-0.625752223526617
0.00185,1,-0.628710745578089
0.00186,1,-0.631669267640371
0.00187,1,-0.633970340362965
0.00188,1,-0.636600137768244
0.00189,1,-0.639558659859436
0.0019,1,-0.642188457282954
0.00191,1,-0.645146979394694
0.00192,1,-0.647776776836503
0.00193,1,-0.650406574286938
0.00194,1,-0.653036371746009
0.00195,1,-0.655994893897803
0.00196,1,-0.65829596669011
0.00197,1,-0.660925764175162
0.00198,1,-0.663555561668897
0.00199,1,-0.666185359171326
0.002,1,-0.668815156682463
0.00201,1,-0.671444954202316
0.00202,1,-0.6740747517309
0.00203,1,-0.676704549268224
0.00204,1,-0.679663071508176
0.00205,1,-0.681964144369141
0.00206,1,-0.684593941932757
0.00207,1,-0.686895014808129
0.00208,1,-0.68952481238823
0.00209,1,-0.69215460997714
0.0021,1,-0.695113132275207
0.00211,1,-0.697085480480128
0.00212,1,-0.699715278094427
0.00213,1,-0.702673800421097
0.00214,1,-0.704974873349597
0.00215,1,-0.707604670990491
0.00216,1,-0.709905743933564
0.00217,1,-0.712864266298955
0.00218,1,-0.715165339257611
0.00219,1,-0.71779513693301
0.0022,1,-0.720096209906312
0.00221,1,-0.72239728288646
0.00222,1,-0.724698355873464
0.00223,1,-0.727656878295409
0.00224,1,-0.730286676013342
0.00225,1,-0.732259024307689
0.00226,1,-0.735217546758699
0.00227,1,-0.737189895065706
0.00228,1,-0.74014841753573
0.00229,1,-0.742120765855427
0.0023,1,-0.744750563622934
0.00231,1,-0.747051636676928
0.00232,1,-0.749023985014443
0.00233,1,-0.751982507530283
0.00234,1,-0.754283580606106
0.00235,1,-0.756913378415571
0.00236,1,-0.759214451506321
0.00237,1,-0.761186799875375
0.00238,1,-0.763816597708764
0.00239,1,-0.766446395551287
0.0024,1,-0.769076193402957
0.00241,1,-0.77137726653068
0.00242,1,-0.773349614931457
0.00243,1,-0.775650688072222
0.00244,1,-0.778280485955994
0.00245,1,-0.78058155911184
0.00246,1,-0.782553907536748
0.00247,1,-0.78518370544469
0.00248,1,-0.78748477862171
0.00249,1,-0.790114576546965
0.0025,1,-0.792415649739151
0.00251,1,-0.794059273452196
0.00252,1,-0.796689071400598
0.00253,1,-0.799318869358279
0.00254,1,-0.801291217832636
0.00255,1,-0.803592291059331
0.00256,1,-0.805893364293154
0.00257,1,-0.807865712784966
0.00258,1,-0.810495510782211
0.00259,1,-0.812796584037462
0.0026,1,-0.815097657299871
0.00261,1,-0.817070005816211
0.00262,1,-0.819371079091935
0.00263,1,-0.822000877130127
0.00264,1,-0.823973225664932
0.00265,1,-0.825945574205024
0.00266,1,-0.828246647508486
0.00267,1,-0.830218996060049
0.00268,1,-0.833177518897338
0.00269,1,-0.835149867462166
0.0027,1,-0.837122216032308
0.00271,1,-0.839423289370864
0.00272,1,-0.841724362716668
0.00273,1,-0.84369671130456
0.00274,1,-0.845997784663845
0.00275,1,-0.848298858030399
0.00276,1,-0.850599931404231
0.00277,1,-0.852243555247142
0.00278,1,-0.854544628633468
0.00279,1,-0.856845702027093
0.0028,1,-0.858818050656015
0.00281,1,-0.860790399290309
0.00282,1,-0.863091472703783
0.00283,1,-0.865392546124585
0.00284,1,-0.868022344328769
0.00285,1,-0.869337243434457
0.00286,1,-0.871967041653033
0.00287,1,-0.87393939032327
0.00288,1,-0.875911738998918
0.00289,1,-0.877884087679981
0.0029,1,-0.880185161148071
0.00291,1,-0.882157509840883
0.00292,1,-0.884129858539125
0.00293,1,-0.886430932027278
0.00294,1,-0.888403280737303
0.00295,1,-0.890046904666483
0.00296,1,-0.892347978173695
0.00297,1,-0.894649051688332
0.00298,1,-0.896292675631909
0.00299,1,-0.898593749159294
0.003,1,-0.900237373111985
0.00301,1,-0.90253844665214
0.00302,1,-0.904839520199755
0.00303,1,-0.906811868960797
0.00304,1,-0.90878421772733
0.00305,1,-0.91075656649936
0.00306,1,-0.912400190480253
0.00307,1,-0.914372539262371
0.00308,1,-0.916673612848473
0.00309,1,-0.918974686442083
0.0031,1,-0.920618310442119
0.00311,1,-0.922590659247227
0.00312,1,-0.924234283255709
0.00313,1,-0.926864081677274
0.00314,1,-0.928507705695753
0.00315,1,-0.930808779328094
0.00316,1,-0.932123678549966
0.00317,1,-0.934096027387403
0.00318,1,-0.936397101038105
0.00319,1,-0.938040725078957
0.0032,1,-0.940013073933085
0.00321,1,-0.941985422792785
0.00322,1,-0.943957771658063
0.00323,1,-0.945930120528925
0.00324,1,-0.947902469405374
0.00325,1,-0.949874818287416
0.00326,1,-0.95151844236006
0.00327,1,-0.953490791252368
0.00328,1,-0.954805690517021
0.00329,1,-0.957435489053808
0.0033,1,-0.958421663507677
0.00331,1,-0.961051462058196
0.00332,1,-0.962695086157347
0.00333,1,-0.964667435081489
0.00334,1,-0.966639784011266
0.00335,1,-0.968283408123721
0.00336,1,-0.970584481887741
0.00337,1,-0.972228106009605
0.00338,1,-0.974200454961024
0.00339,1,-0.975844079091528
0.0034,1,-0.977816428053323
0.00341,1,-0.979788777020784
0.00342,1,-0.981432401164668
0.00343,1,-0.983076025312493
0.00344,1,-0.984719649464262
0.00345,1,-0.986363273619977
0.00346,1,-0.988664347444616
0.00347,1,-0.989979246776459
0.00348,1,-0.991951595778972
0.00349,1,-0.993923944787186
0.0035,1,-0.995567568965057
0.00351,1,-0.997539917983737
0.00352,1,-0.999183542170335
0.00353,1,-1.00082716636091
0.00354,1,-1.00247079055545
0.00355,1,-1.0047718644345
0.00356,1,-1.00641548863859
0.00357,1,-1.00805911284667
0.00358,1,-1.00970273705874
0.00359,1,-1.01167508611848
0.0036,1,-1.01331871033933
0.00361,1,-1.01496233456417
0.00362,1,-1.01627723394693
0.00363,1,-1.01824958302586
0.00364,1,-1.02022193211056
0.00365,1,-1.02186555635222
0.00366,1,-1.02350918059788
0.00367,1,-1.02515280484757
0.00368,1,-1.02679642910126
0.00369,1,-1.02844005335898
0.0037,1,-1.03041240247355
0.00371,1,-1.03172730188648
0.00372,1,-1.03337092615627
0.00373,1,-1.03501455043009
0.00374,1,-1.03731562442022
0.00375,1,-1.03830179898984
0.00376,1,-1.04027414813344
0.00377,1,-1.04158904756574
0.00378,1,-1.04356139671904
0.00379,1,-1.04520502101791
0.0038,1,-1.04684864532084
0.00381,1,-1.04849226962781
0.00382,1,-1.05013589393884
0.00383,1,-1.05177951825394
0.00384,1,-1.05375186743741
0.00385,1,-1.05506676689631
0.00386,1,-1.05703911608954
0.00387,1,-1.05835401555495
0.00388,1,-1.05999763989038
0.00389,1,-1.06164126422988
0.0039,1,-1.06295616370442
0.00391,1,-1.06459978805127
0.00392,1,-1.06624341240221
0.00393,1,-1.06755831188589
0.00394,1,-1.06920193624418
0.00395,1,-1.07117428547954
0.00396,1,-1.07248918497304
0.00397,1,-1.07413280934362
0.00398,1,-1.07577643371829
0.00399,1,-1.07742005809707
0.004,1,-1.07840623272631
0.00401,1,-1.08037858198922
0.00402,1,-1.0820222063795
0.00403,1,-1.08333710589469
0.00404,1,-1.08465200541251
0.00405,1,-1.08662435469418
0.00406,1,-1.08761052933725
0.00407,1,-1.08958287862782
0.00408,1,-1.09089777815818
0.00409,1,-1.09254140257484
0.0041,1,-1.09385630211114
0.00411,1,-1.09549992653523
0.00412,1,-1.09747227584961
0.00413,1,-1.09878717539584
0.00414,1,-1.10010207494472
0.00415,1,-1.10174569938456
0.00416,1,-1.10273187405045
0.00417,1,-1.10470422338671
0.00418,1,-1.10569039805708
0.00419,1,-1.10766274740231
0.0042,1,-1.10864892207718
0.00421,1,-1.11029254653861
0.00422,1,-1.1119361710042
0.00423,1,-1.11325107057967
0.00424,1,-1.11489469505276
0.00425,1,-1.11686704442598
0.00426,1,-1.11785321911484
0.00427,1,-1.11916811870232
0.00428,1,-1.12048301829248
0.00429,1,-1.12212664278394
0.0043,1,-1.12377026727959
0.00431,1,-1.12508516687911
0.00432,1,-1.12640006648132
0.00433,1,-1.12804369098785
0.00434,1,-1.12902986569378
0.00435,1,-1.13067349020703
0.00436,1,-1.13231711472446
0.00437,1,-1.1339607392461
0.00438,1,-1.13461818905593
0.00439,1,-1.13593308867761
0.0044,1,-1.1375767132085
0.00441,1,-1.1392203377436
0.00442,1,-1.14053523737471
0.00443,1,-1.14152141209981
0.00444,1,-1.14283631173564
0.00445,1,-1.14415121137417
0.00446,1,-1.14612356083703
0.00447,1,-1.14710973557074
0.00448,1,-1.14809591030597
0.00449,1,-1.14973953486807
0.0045,1,-1.1513831594344
0.00451,1,-1.15269805909051
0.00452,1,-1.15368423383438
0.00453,1,-1.15499913349523
0.00454,1,-1.1569714829916
0.00455,1,-1.15795765774208
0.00456,1,-1.15927255741176
0.00457,1,-1.1602587321658
0.00458,1,-1.16223108167847
0.00459,1,-1.1632172564371
0.0046,1,-1.16420343119726
0.00461,1,-1.16584705580094
0.00462,1,-1.16716195548694
0.00463,1,-1.16847685517567
0.00464,1,-1.16979175486713
0.00465,1,-1.17110665456132
0.00466,1,-1.17242155425824
0.00467,1,-1.17340772903272
0.00468,1,-1.17472262873442
0.00469,1,-1.17636625336539
0.0047,1,-1.17735242814603
0.00471,1,-1.17899605278384
0.00472,1,-1.17998222756858
0.00473,1,-1.18096840235486
0.00474,1,-1.18294075193206
0.00475,1,-1.18392692672297
0.00476,1,-1.18524182644658
0.00477,1,-1.18655672617295
0.00478,1,-1.18754290096952
0.00479,1,-1.18885780070069
0.0048,1,-1.19017270043461
0.00481,1,-1.19148760017129
0.00482,1,-1.19280249991071
0.00483,1,-1.19378867471709
0.00484,1,-1.19543229939783
0.00485,1,-1.19641847420834
0.00486,1,-1.1974046490204
0.00487,1,-1.19871954877224
0.00488,1,-1.20069189840516
0.00489,1,-1.20134934828418
0.0049,1,-1.2026642480443
0.00491,1,-1.20365042286621
0.00492,1,-1.20496532263116
0.00493,1,-1.20628022239889
0.00494,1,-1.20693767228379
0.00495,1,-1.20858129699908
0.00496,1,-1.20989619677442
0.00497,1,-1.21088237160775
0.00498,1,-1.21219727138795
0.00499,1,-1.21351217117092
0.005,1,-1.21449834600997
0.00501,1,-1.21581324579781
0.00502,1,-1.21712814558842
0.00503,1,-1.21778559548477
0.00504,1,-1.21910049527956
0.00505,1,-1.22041539507713
0.00506,1,-1.22140156992714
0.00507,1,-1.22238774477871
0.00508,1,-1.22370264458324
