Time_s,Voltage_V
0,0.191128232047041
0.0005,0.179622877641685
0.001,0.168446247556381
0.0015,0.156940892961638
0.002,0.145435538269394
0.0025,0.134916356750339
0.003,0.124725899574566
0.0035,0.11453544232018
0.004,0.10533115828035
0.0045,0.0967843230421594
0.005,0.0882374877473757
0.0055,0.0810055501457543
0.006,0.0744310613813979
0.0065,0.0681852970236768
0.007,0.0632544304036353
0.0075,0.0593097370936711
0.008,0.0556937682152894
0.0085,0.0530639726608004
0.009,0.0517490748814755
0.0095,0.0510916259912923
0.01,0.0514203504364273
0.0105,0.0527352482160993
0.011,0.0547075948830057
0.0115,0.0579948393209237
0.012,0.0619395326350254
0.0125,0.0668703992602205
0.013,0.0724587147454497
0.0135,0.0793619279578522
0.014,0.0859364166967517
0.0145,0.0934970787047309
0.015,0.102372638396587
0.0155,0.111576922457312
0.016,0.122424828588535
0.0165,0.131629112508638
0.017,0.142477018475511
0.0175,0.153324924354627
0.018,0.164501554563393
0.0185,0.176335633508353
0.019,0.188169712351884
0.0195,0.199675066686851
0.02,0.211180420927907
0.0205,0.223014499478893
0.021,0.234848577932599
0.0215,0.24701138068753
0.022,0.257530561367458
0.0225,0.268049741972946
0.023,0.278568922504733
0.0235,0.288430654187003
0.024,0.297634937033136
0.0245,0.306510495439966
0.025,0.314728605030841
0.0255,0.321960541435243
0.026,0.328863753426797
0.0265,0.334452067874239
0.027,0.339382933546974
0.0275,0.343656350451133
0.028,0.346943594215879
0.0285,0.349902113598459
0.029,0.351217011100102
0.0295,0.351874459850525
0.03,0.351545735475346
0.0305,0.350230837973969
0.031,0.347601042968029
0.0315,0.344642523581257
0.032,0.341026555434528
0.0325,0.336095689766833
0.033,0.330507375325133
0.0335,0.32426161210243
0.034,0.316700951326241
0.0345,0.308811566129764
0.035,0.300264732121937
0.0355,0.291060449291523
0.036,0.281856166405918
0.0365,0.271336985897012
0.037,0.26016035652578
0.0375,0.249969900261327
0.038,0.238135821930394
0.0385,0.226630467905576
0.039,0.214796389384426
0.0395,0.202962310765265
0.04,0.191456956457228
0.0405,0.179622877641685
0.041,0.168117523140732
0.0415,0.156283444124717
0.042,0.145435538269394
0.0425,0.134916356750339
0.043,0.124397175148235
0.0435,0.11453544232018
0.044,0.104673709417874
0.0445,0.0967843230421594
0.045,0.0882374877473757
0.0455,0.0810055501457543
0.046,0.0744310613813979
0.0465,0.0681852970236768
0.047,0.0632544304036353
0.0475,0.05865228820747
0.048,0.0553650437712814
0.0485,0.0533926971054148
0.049,0.0520777993264369
0.0495,0.0510916259912923
0.05,0.0514203504364273
0.0505,0.0527352482160993
0.051,0.0553650437712814
0.0515,0.0579948393209237
0.052,0.0619395326350254
0.0525,0.0668703992602205
0.053,0.0721299903058262
0.0535,0.0790332035200172
0.054,0.0859364166967517
0.0545,0.0941545275728874
0.055,0.102372638396587
0.0555,0.111576922457312
0.056,0.121767379734646
0.0565,0.131629112508638
0.057,0.142477018475511
0.0575,0.153324924354627
0.058,0.164830278979909
0.0585,0.176664357922038
0.059,0.187512263529886
0.0595,0.199675066686851
0.06,0.211509145333424
0.0605,0.223343223881694
0.061,0.235177302332712
0.0615,0.246025207494944
0.062,0.257530561367458
0.0625,0.268378466365676
0.063,0.278568922504733
0.0635,0.288430654187003
0.064,0.297634937033136
0.0645,0.306510495439966
0.065,0.314728605030841
0.0655,0.322289265816474
0.066,0.328535029046926
0.0665,0.334452067874239
0.067,0.339382933546974
0.0675,0.343656350451133
0.068,0.347272318591987
0.0685,0.349573389222883
0.069,0.351217011100102
0.0695,0.351874459850525
0.07,0.351545735475346
0.0705,0.350559562349413
0.071,0.347929767344004
0.0715,0.344642523581257
0.072,0.341026555434528
0.0725,0.336095689766833
0.073,0.330507375325133
0.0735,0.323932887721608
0.074,0.317029675708568
0.0745,0.308482841745715
0.075,0.300264732121937
0.0755,0.291060449291523
0.076,0.28152744201612
0.0765,0.271008261504929
0.077,0.260489080920244
0.0775,0.249641175864531
0.078,0.238135821930394
0.0785,0.226301743503525
0.079,0.214796389384426
0.0795,0.202962310765265
0.08,0.191128232047041
0.0805,0.179622877641685
0.081,0.167788798725005
0.0815,0.156612168543217
0.082,0.145435538269394
0.0825,0.134587632326535
0.083,0.124397175148235
0.0835,0.114864166748975
0.084,0.105659882711463
0.0845,0.0964555986087937
0.085,0.0882374877473757
0.0855,0.0806768257083436
0.086,0.0741023369422865
0.0865,0.0685140214643266
0.087,0.0632544304036353
0.0875,0.0589810126506137
0.088,0.0556937682152894
0.0885,0.0530639726608004
0.089,0.0517490748814755
0.0895,0.0510916259912923
0.09,0.0514203504364273
0.0905,0.0530639726608004
0.091,0.0553650437712814
0.0915,0.0579948393209237
0.092,0.0619395326350254
0.0925,0.0668703992602205
0.093,0.0721299903058262
0.0935,0.0793619279578522
0.094,0.0862651411328084
0.0945,0.0941545275728874
0.095,0.102372638396587
0.0955,0.11190564688685
0.096,0.121438655307579
0.0965,0.131957836933174
0.097,0.142148294053566
0.0975,0.153653648773845
0.098,0.164830278979909
0.0985,0.176335633508353
0.099,0.188169712351884
0.0995,0.200003791095037
0.1,0.211837869738865
0.1005,0.223014499478893
0.101,0.234848577932599
0.1015,0.246025207494944
0.102,0.257201836972341
0.1025,0.268049741972946
0.103,0.278568922504733
0.1035,0.288430654187003
0.104,0.297634937033136
0.1045,0.306181771055432
0.105,0.314728605030841
0.1055,0.321960541435243
0.106,0.328863753426797
0.1065,0.334452067874239
0.107,0.339382933546974
0.1075,0.343985074827908
0.108,0.346943594215879
0.1085,0.349573389222883
0.109,0.35088828672479
0.1095,0.351874459850525
0.11,0.351545735475346
0.1105,0.350230837973969
0.111,0.347929767344004
0.1115,0.344642523581257
0.112,0.340697831057151
0.1125,0.336095689766833
0.113,0.330178650945601
0.1135,0.323604163340717
0.114,0.316043502561383
0.1145,0.308482841745715
0.115,0.300264732121937
0.1155,0.290731724903704
0.116,0.28119871762625
0.1165,0.271008261504929
0.117,0.260489080920244
0.1175,0.249312451467663
0.118,0.237807097530948
0.1185,0.226630467905576
0.119,0.214796389384426
0.1195,0.202962310765265
0.12,0.191128232047041
0.1205,0.179622877641685
0.121,0.167788798725005
0.1215,0.156283444124717
0.122,0.145435538269394
0.1225,0.134916356750339
0.123,0.124068450721823
0.1235,0.11453544232018
0.124,0.10533115828035
0.1245,0.0967843230421594
0.125,0.0882374877473757
0.1255,0.0810055501457543
0.126,0.0741023369422865
0.1265,0.0685140214643266
0.127,0.0635831548455727
0.1275,0.0589810126506137
0.128,0.0553650437712814
0.1285,0.0537214215499425
0.129,0.0517490748814755
0.1295,0.0510916259912923
0.13,0.0514203504364273
0.1305,0.0527352482160993
0.131,0.0553650437712814
0.1315,0.05832356376424
0.132,0.0619395326350254
0.1325,0.066541674819142
0.133,0.0724587147454497
0.1335,0.0790332035200172
0.134,0.0862651411328084
0.1345,0.0941545275728874
0.135,0.102372638396587
0.1355,0.111576922457312
0.136,0.121438655307579
