Time_s,Voltage_V
0,0.164501554563393
0.0005,0.181595224117937
0.001,0.199017617870249
0.0015,0.216768735811395
0.002,0.234848577932599
0.0025,0.251613522244206
0.003,0.269693363935877
0.0035,0.287773205410168
0.004,0.304866873516602
0.0045,0.322289265816474
0.005,0.339711657924619
0.0055,0.357134049844392
0.006,0.375213890320277
0.0065,0.392307557499444
0.007,0.41005867323471
0.0075,0.427481064428015
0.008,0.445232179807129
0.0085,0.462654570657717
0.009,0.479748236992552
0.0095,0.498156800564098
0.01,0.514921742234752
0.0105,0.532672856788865
0.011,0.550752695525244
0.0115,0.567517636756747
0.012,0.585597475189882
0.0125,0.603348589140109
0.013,0.620442254290476
0.0135,0.637864643637646
0.014,0.655615757177469
0.0145,0.67270942194251
0.015,0.690789259544695
0.0155,0.708869097016846
0.016,0.726291485734123
0.0165,0.743713874337488
0.017,0.761136262830298
0.0175,0.77790120259949
0.018,0.796309763803902
0.0185,0.814060876287645
0.019,0.831154540065663
0.0195,0.848905652355089
0.02,0.866328040251693
0.0205,0.883750428061358
0.021,0.90117281578744
0.0215,0.918923927727752
0.022,0.93634631529532
0.0225,0.954097427081093
0.023,0.971848538794167
0.0235,0.988942201859877
0.024,1.00603586486463
0.0245,1.02411570067223
0.025,1.04120936356154
0.0255,1.05928919925412
0.026,1.07704031060922
0.0265,1.09413397335009
0.027,1.11188508461408
0.0275,1.12996492011847
0.028,1.14672985846039
0.0285,1.16448096961279
0.029,1.18157463217499
0.0295,1.19965446754992
0.03,1.21740557862146
0.0305,1.23515668967296
0.031,1.25290780070795
0.0315,1.27000146317381
0.032,1.28775257418673
0.0325,1.30550368519367
0.033,1.32259734764245
0.0335,1.34034845864796
0.034,1.35777084537998
0.0345,1.37552195639792
0.035,1.39327306742743
0.0355,1.41102417847205
0.036,1.42746039241882
0.0365,1.44554022778211
0.037,1.46329133889184
0.0375,1.48038500146943
0.038,1.49846483692093
0.0385,1.51654467240993
0.039,1.53330961080923
0.0395,1.55138944638108
0.04,1.56848310914808
0.0405,1.58557677196157
0.041,1.60332788339743
0.0415,1.62107899489041
0.042,1.63850138215545
0.0425,1.65559504519251
0.043,1.67367488116533
0.0435,1.69142599291956
0.044,1.70851965616088
0.0445,1.72692821665575
0.045,1.74303570716081
0.0455,1.76144426782394
0.046,1.77919537998228
0.0465,1.7959603193276
0.047,1.81404015597217
0.0475,1.83146254410885
0.048,1.84822748372998
0.0485,1.86663604499171
0.049,1.88372970912607
0.0495,1.90148082199211
0.05,1.91923193497489
0.0505,1.93698304807794
0.051,1.95407671266454
0.0515,1.97182782601403
0.052,1.98990766381927
0.0525,2.0066726044541
0.053,2.02376626954165
0.0535,2.04184610775754
0.054,2.05893977311793
0.0545,2.07669088729153
0.055,2.09477072595771
0.0555,2.11153566741031
0.056,2.12928678204391
0.0565,2.14703789683979
0.057,2.1647890118015
0.0575,2.18188267822098
0.058,2.19996251787755
0.0585,2.21738490899243
0.059,2.23414985154958
0.0595,2.25255841611444
0.06,2.26932335901796
0.0605,2.28674575084267
0.061,2.30482559161289
0.0615,2.32257670820466
0.062,2.33967037622363
0.0625,2.35742149321316
0.063,2.3751726104106
0.0635,2.39226627902275
0.064,2.4100173966386
0.0645,2.42809723887929
0.065,2.44420473488762
0.0655,2.46294202639615
0.066,2.48036442048379
0.0665,2.49778681479539
0.067,-2.49751335851431
0.0675,-2.48009089169371
0.068,-2.46299715137314
0.0685,-2.44458850873484
0.069,-2.42749476986663
0.0695,-2.41040103169284
0.07,-2.39232111706885
0.0705,-2.37456992891402
0.071,-2.35714746718367
0.0715,-2.34005373183428
0.072,-2.32131636886496
0.0725,-2.30455136057973
0.073,-2.28712890167368
0.0735,-2.26872026660277
0.074,-2.25195526033429
0.0745,-2.2338753523268
0.075,-2.21645289621662
0.0755,-2.19935916635502
0.076,-2.18127926048021
0.0765,-2.16385680641483
0.077,-2.14676307854961
0.0775,-2.12868317477573
0.078,-2.11093199722052
0.0785,-2.09383827133387
0.079,-2.07674454607975
0.0795,-2.0586646450535
0.08,-2.04189964654594
0.0805,-2.02349102142379
0.081,-2.00573984787935
0.0815,-1.98930357667153
0.082,-1.97056622818597
0.0825,-1.95314378200588
0.083,-1.93539261107409
0.0835,-1.91797016616245
0.084,-1.90054772187405
0.0845,-1.88312527820552
0.085,-1.86603156048844
0.0855,-1.84762294206858
0.086,-1.83052922557398
0.0865,-1.81310678436283
0.087,-1.79535561846599
0.0875,-1.77826190374628
0.088,-1.76018201380194
0.0885,-1.74243084975047
0.089,-1.72500841155422
0.0895,-1.70758597394404
0.09,-1.68983481169522
0.0905,-1.672412375258
0.091,-1.65498993939672
0.0915,-1.63756750410803
0.092,-1.61981634421062
0.0925,-1.60206518490057
0.093,-1.58431402617433
0.0935,-1.56689159317396
0.094,-1.54979788586454
0.0945,-1.53237545396164
0.095,-1.51429557237864
0.0955,-1.49785931690394
0.096,-1.47945071134516
0.0965,-1.46169955655461
0.097,-1.44460585246677
0.0975,-1.42685469876376
0.098,-1.40877482055627
0.0985,-1.39200984308747
0.099,-1.37425869100015
0.0995,-1.35617881442745
0.1,-1.33908511345067
0.1005,-1.32133396295767
0.101,-1.30358281299235
0.1015,-1.28681783850642
0.102,-1.26873796458132
0.1025,-1.25131554112476
0.103,-1.23389311816303
0.1035,-1.21647069569277
0.104,-1.19871954877224
0.1045,-1.18129712728397
0.105,-1.16387470627704
0.1055,-1.14579483592613
0.106,-1.12902986569378
0.1065,-1.11160744611075
0.107,-1.09319885234266
0.1075,-1.07676260834507
0.108,-1.05868274042171
0.1085,-1.04126032270742
0.109,-1.02416663029727
0.1095,-1.00608676379745
0.11,-0.98833562261205
0.1105,-0.9709132067118
0.111,-0.953490791252368
0.1115,-0.935410926615449
0.112,-0.918317236843142
0.1125,-0.900894822694126
0.113,-0.88281495940636
0.1135,-0.865721270899584
0.114,-0.848298858030399
0.1145,-0.829890271301088
0.115,-0.813125308788797
0.1155,-0.795374172425238
0.116,-0.777623036484189
0.1165,-0.760529350418454
0.117,-0.742778215296456
0.1175,-0.725355805299582
0.118,-0.707604670990491
0.1185,-0.690510986483038
0.119,-0.672431128274512
0.1195,-0.654351270478788
0.12,-0.6379150364741
0.1205,-0.619506454786715
0.121,-0.602084047502055
0.1215,-0.58499036524254
0.122,-0.56691050939035
0.1225,-0.549159378570358
0.123,-0.532065697392835
0.1235,-0.51398584267438
0.124,-0.496892162199138
0.1245,-0.479469757445569
0.125,-0.462047353038159
0.1255,-0.443967499770234
0.126,-0.426873820653046
0.1265,-0.409122692681367
0.127,-0.391371565054968
0.1275,-0.374606611499431
0.128,-0.356526759963985
0.1285,-0.338446908775816
0.129,-0.321681956162916
0.1295,-0.303602105633463
0.13,-0.286508429078597
0.1305,-0.269414752821174
0.131,-0.251006178719109
0.1315,-0.233583778540425
0.132,-0.216161378660538
0.1325,-0.19841025455845
0.133,-0.180659130759509
0.1335,-0.163565456273358
0.134,-0.146143057560456
0.1345,-0.127734485641781
0.135,-0.110969536486379
0.1355,-0.0928896896434802
0.136,-0.0751385675733155
0.1365,-0.0583736192072733
0.137,-0.0402937732051328
0.1375,-0.0225426519498256
0.138,-0.00577770434371443
0.1385,0.0113159674822513
0.139,0.0290670879682692
0.1395,0.0468182081966254
0.14,0.0639118792874241
0.1405,0.0816629990203214
0.141,0.0987566696405966
0.1415,0.116836513320012
0.142,0.134916356750339
0.1425,0.15168130225734
0.143,0.169103696387441
0.1435,0.187183539118771
0.144,0.204277208394489
0.1445,0.22169960186694
0.145,0.239121995128288
0.1455,0.256873112577151
0.146,0.274624229813903
0.1465,0.292046622454555
0.147,0.309797739281496
0.1475,0.326891407146556
0.148,0.344971247957832
0.1485,0.362393639821396
0.149,0.379158582761633
0.1495,0.397895871732186
0.15,0.414989538684369
0.1505,0.432740654188371
0.151,0.450163045159105
0.1515,0.467585435962742
0.152,0.485007826602636
0.1525,0.502758941429294
0.153,0.520510056093006
0.1535,0.537932446256076
0.154,0.555354836268954
0.1545,0.573105950470701
0.155,0.590528340190588
0.1555,0.608279454100783
0.156,0.626030567869131
0.1565,0.642795508523302
0.157,0.660546622025997
0.1575,0.678297735397296
0.158,0.69539140000434
0.1585,0.713142513128035
0.159,0.730893626130851
0.1595,0.748644739016336
0.16,0.766067127478466
0.1605,0.783818240141948
0.161,0.800583179781604
0.1615,0.81833429224078
0.162,0.83674285320414
0.1625,0.853179068262485
0.163,0.871258904734801
0.1635,0.889010016817508
0.164,0.906103680223507
0.1645,0.924183516435335
0.165,0.941605903980375
0.1655,0.95837084287038
0.166,0.976121954566482
