Time_s,Input_Voltage_V,Output_Voltage_V
0,-0.15633351715054,1.53791175076858
0.0001,-0.132994077586656,1.29925792391391
0.0002,-0.107024842604601,1.03956574213215
0.0003,-0.0803981592686147,0.764094781620224
0.0004,-0.0514704052457016,0.475803544775342
0.0005,-0.0218852030196121,0.178965428815644
0.0006,0.00737127400556577,-0.120831271252624
0.0007,0.0376139236657188,-0.41964187958564
0.0008,0.066541674819142,-0.710234468640273
0.0009,0.095140700874493,-0.992609045447743
0.001,0.121767379734646,-1.25723259054492
0.0011,0.146750435953473,-1.50476254414437
0.0012,0.169761145218187,-1.72763821350847
0.0013,0.189155885584299,-1.92454467360288
0.0014,0.206578279242692,-2.09186591838771
0.0015,0.220384704253785,-2.22499976139295
0.0016,0.230903885125441,-2.32526107679099
0.0017,0.237478373131428,-2.38771895710577
0.0018,0.240436892724445,-2.41303083752066
0.0019,0.239779443926514,-2.40152543714466
0.002,0.235177302332712,-2.35418893601683
0.0021,0.226959192307552,-2.26674791289098
0.0022,0.215782562598251,-2.14610562749072
0.0023,0.200989964319135,-1.99061847834726
0.0024,0.182252672942731,-1.80653227840231
0.0025,0.161543034811181,-1.5931896054647
0.0026,0.138532325406844,-1.3542064642895
0.0027,0.112563095745678,-1.09648610119168
0.0028,0.0852789678243851,-0.820357253355157
0.0029,0.0563512171030458,-0.532723146662532
0.003,0.0270947412603895,-0.233912503069322
0.0031,-0.00281918420251803,0.0648980526124625
0.0032,-0.0324043859472405,0.362393639821396
0.0033,-0.0619895884418331,0.653972135559027
0.0034,-0.090259893763522,0.936017591002283
0.0035,-0.116886577335507,1.20129808894637
0.0036,-0.141540914551432,1.44882747057817
0.0037,-0.164222905286957,1.67203125971026
0.0038,-0.184275100397842,1.86729349361036
0.0039,-0.201368775220984,2.03461417245337
0.004,-0.214846480568428,2.16643263356573
0.0041,-0.225036940826371,2.26866591027346
0.0042,-0.2322688804259,2.33145226657567
0.0043,-0.235884850244939,2.35775021760381
0.0044,-0.234569952127435,2.34624486397351
0.0045,-0.229967808729572,2.29726493090247
0.0046,-0.222407144621067,2.21048169739807
0.0047,-0.210573061780674,2.09082603387148
0.0048,-0.195780458421046,1.9366543237601
0.0049,-0.17737188564454,1.75125381458817
0.005,-0.15633351715054,1.53856919933445
0.0051,-0.133322802084055,1.29860047535812
0.0052,-0.10768229158392,1.04022319070396
0.0053,-0.0800694347869405,0.76475223023979
0.0054,-0.0517991297191217,0.476789717830422
0.0055,-0.0222139274846729,0.178965428815644
0.0056,0.00802872291924411,-0.119187648785434
0.0057,0.0376139236657188,-0.417669532031819
0.0058,0.0668703992602205,-0.710563193347121
0.0059,0.095140700874493,-0.991622870944824
0.006,0.122096104161632,-1.25789004048402
0.0061,0.146750435953473,-1.50410509392732
0.0062,0.169432420802853,-1.72763821350847
0.0063,0.189155885584299,-1.92290104673444
0.0064,0.206249554836035,-2.09087974191779
0.0065,0.220055979850308,-2.22434231021971
0.0066,0.230575160724361,-2.32558980245311
0.0067,0.237478373131428,-2.38739023139603
0.0068,0.240436892724445,-2.4143457404407
0.0069,0.239779443926514,-2.4021828885863
0.007,0.235177302332712,-2.35386021033289
0.0071,0.226959192307552,-2.26806281536452
0.0072,0.215782562598251,-2.14577690196163
0.0073,0.200661239911179,-1.99259083086765
0.0074,0.182252672942731,-1.80554610251562
0.0075,0.16187175922841,-1.59417578095038
0.0076,0.138203600983931,-1.35354901424499
0.0077,0.112891820174968,-1.09648610119168
0.0078,0.084950243388075,-0.820028528600603
0.0079,0.0566799415467943,-0.53239442202762
0.008,0.0277521901633699,-0.234898676656651
0.0081,-0.00281918420251803,0.0645693281708689
0.0082,-0.0324043859472405,0.362722364194401
0.0083,-0.0616608639654914,0.655615757177469
0.0084,-0.089931169278962,0.935688866709219
0.0085,-0.116886577335507,1.20195553750489
0.0086,-0.141540914551432,1.44849874629852
0.0087,-0.164551629793909,1.67268870829221
0.0088,-0.184275100397842,1.86762221791974
0.0089,-0.201368775220984,2.03560034544799
0.009,-0.215175205091298,2.16906242839152
0.0091,-0.22536566535251,2.26899463464568
0.0092,-0.231940155897534,2.33178099096075
0.0093,-0.235227401185974,2.35873639077617
0.0094,-0.234898676656651,2.34591613958535
0.0095,-0.2302965332573,2.29595003339125
0.0096,-0.222407144621067,2.21245404356512
0.0097,-0.210573061780674,2.09082603387148
0.0098,-0.195780458421046,1.9366543237601
0.0099,-0.17737188564454,1.75026764169591
0.01,-0.15633351715054,1.53824047505151
0.0101,-0.133322802084055,1.29761430252443
0.0102,-0.10768229158392,1.04022319070396
0.0103,-0.0803981592686147,0.764094781620224
0.0104,-0.0514704052457016,0.476460993478786
0.0105,-0.0222139274846729,0.178965428815644
0.0106,0.00769999846244986,-0.120173822265452
0.0107,0.0376139236657188,-0.419313154993039
0.0108,0.0671991237012131,-0.711549367468501
0.0109,0.0948119764407084,-0.991294146110834
0.011,0.122096104161632,-1.25821876545384
0.0111,0.146750435953473,-1.50476254414437
0.0112,0.16877497197195,-1.72796693875369
0.0113,0.189484609994949,-1.92290104673444
0.0114,0.206249554836035,-2.0915371928975
0.0115,0.220055979850308,-2.22335613346168
0.0116,0.230575160724361,-2.3236174484841
0.0117,0.237149648731834,-2.3867327799773
0.0118,0.240436892724445,-2.41270211179128
0.0119,0.239779443926514,-2.40251161430749
0.012,0.235177302332712,-2.35287403328257
0.0121,0.22761664111128,-2.26872026660277
0.0122,0.215782562598251,-2.14511945090416
0.0123,0.200989964319135,-1.99259083086765
0.0124,0.182252672942731,-1.80587482781097
0.0125,0.16187175922841,-1.59351833062639
0.0126,0.137874876560936,-1.35552136438073
0.0127,0.112891820174968,-1.09615737630603
0.0128,0.0852789678243851,-0.819371079091935
0.0129,0.0570086659904563,-0.530750798854964
0.013,0.0274234657119239,-0.235556125715403
0.0131,-0.00314790866228846,0.0655555014953919
0.0132,-0.0327331104152526,0.362064915448326
0.0133,-0.0616608639654914,0.65462958420654
0.0134,-0.089931169278962,0.934702693829871
0.0135,-0.116886577335507,1.20261298606338
0.0136,-0.141869639051425,1.44849874629852
0.0137,-0.164222905286957,1.67334615687427
0.0138,-0.184275100397842,1.86827966653862
0.0139,-0.201368775220984,2.03560034544799
0.014,-0.214846480568428,2.17004860145216
0.0141,-0.225694389878754,2.26833718590132
0.0142,-0.232597604954371,2.33178099096075
0.0143,-0.235227401185974,2.35775021760381
0.0144,-0.235227401185974,2.34755976152687
0.0145,-0.229967808729572,2.29693620652456
0.0146,-0.22207842009588,2.21212531920379
0.0147,-0.210244337259273,2.09016858519118
0.0148,-0.195780458421046,1.9366543237601
0.0149,-0.177043161133608,1.75125381458817
0.015,-0.15666224165506,1.53758302648568
0.0151,-0.132994077586656,1.29892919963602
0.0152,-0.10768229158392,1.03956574213215
0.0153,-0.0800694347869405,0.764423505930026
0.0154,-0.0517991297191217,0.475803544775342
0.0155,-0.0218852030196121,0.179951602054589
0.0156,0.00769999846244986,-0.120502546758989
